Participant Code,LetterGrade,PercentGrade,Are you presently a computer science major?,Do you plan to become a computer science major?,How likely are you to switch your major to computer science?,How likely are you to switch to a major that is not computer science?,How likely are you to enroll in the next course in the computer science sequence (CS 112)?,I liked having two different programming languages this semester,Being exposed to two programming languages helped me learn,My favorite programming language taught this semester was,I would recommend that this course continue to be taught in two languages,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,F,28.76,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
8,B-,80.19,Yes,,,1 - Very Unlikely,1 - Very Unlikely,Strongly Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
9,A,95.77,Yes,,,1 - Very Unlikely,5 - Very Likely,Strongly Agree,Strongly Agree,C++,Agree,,,,,,,,,,,,,,,,,,
10,C,69.36,No,1 - Very Unlikely,1 - Very Unlikely,,2 - Somewhat Unlikely,Neutral,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
16,A,97.8,No,2 - Somewhat Unlikely,2 - Somewhat Unlikely,,3 - Unsure,Neutral,Neutral,C++,Neutral,,,,,,,,,,,,,,,,,,
17,A,102.25,Yes,,,1 - Very Unlikely,5 - Very Likely,Strongly Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
19,A,96.09,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Neutral,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
21,B,84.59,No,1 - Very Unlikely,1 - Very Unlikely,,2 - Somewhat Unlikely,Strongly Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
22,D,54.83,No,3 - Unsure,3 - Unsure,,2 - Somewhat Unlikely,Disagree,Agree,C++,Neutral,,,,,,,,,,,,,,,,,,
23,A,87.19,Yes,,,1 - Very Unlikely,1 - Very Unlikely,Agree,Agree,JavaScript,Neutral,,,,,,,,,,,,,,,,,,
24,C+,77.42,No,1 - Very Unlikely,1 - Very Unlikely,,3 - Unsure,Strongly Agree,Strongly Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
25,B+,84.12,No,1 - Very Unlikely,1 - Very Unlikely,,2 - Somewhat Unlikely,Disagree,Disagree,C++,Disagree,,,,,,,,,,,,,,,,,,
28,A,94.05,Yes,,,1 - Very Unlikely,5 - Very Likely,Neutral,Agree,Racket,Agree,,,,,,,,,,,,,,,,,,
30,A,97.97,No,1 - Very Unlikely,1 - Very Unlikely,,2 - Somewhat Unlikely,Neutral,Agree,Racket,Neutral,,,,,,,,,,,,,,,,,,
33,A,93.6,Yes,,,1 - Very Unlikely,5 - Very Likely,Strongly Disagree,Strongly Disagree,C++,Strongly Disagree,,,,,,,,,,,,,,,,,,
34,A-,89.6,No,4 - Likely,4 - Likely,,5 - Very Likely,Agree,Agree,I did not have a favorite,Agree,,,,,,,,,,,,,,,,,,
35,A,103.24,Yes,,,1 - Very Unlikely,1 - Very Unlikely,Disagree,Neutral,C++,Disagree,,,,,,,,,,,,,,,,,,
39,B,84.71,No,3 - Unsure,2 - Somewhat Unlikely,,4 - Likely,Strongly Agree,Strongly Agree,C++,Agree,,,,,,,,,,,,,,,,,,
43,D,57.5,No,1 - Very Unlikely,5 - Very Likely,,1 - Very Unlikely,Neutral,Disagree,C++,Disagree,,,,,,,,,,,,,,,,,,
44,C-,71.46,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Neutral,Agree,C++,Disagree,,,,,,,,,,,,,,,,,,
46,B-,75.55,No,3 - Unsure,2 - Somewhat Unlikely,,4 - Likely,Agree,Disagree,C++,Agree,,,,,,,,,,,,,,,,,,
47,B-,81.63,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Strongly Disagree,Disagree,C++,Strongly Disagree,,,,,,,,,,,,,,,,,,
48,C+,73.95,Yes,,,3 - Unsure,5 - Very Likely,Agree,Agree,C++,Neutral,,,,,,,,,,,,,,,,,,
53,A,94.31,Yes,,,1 - Very Unlikely,5 - Very Likely,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
54,B+,83.33,Yes,,,1 - Very Unlikely,5 - Very Likely,Strongly Agree,Strongly Agree,C++,Agree,,,,,,,,,,,,,,,,,,
60,C-,70.49,No,3 - Unsure,2 - Somewhat Unlikely,,2 - Somewhat Unlikely,Strongly Disagree,Strongly Disagree,Racket,Strongly Disagree,,,,,,,,,,,,,,,,,,
61,F,52.5,Yes,,,2 - Somewhat Unlikely,4 - Likely,Neutral,Neutral,C++,Neutral,,,,,,,,,,,,,,,,,,
63,A,99.34,No,1 - Very Unlikely,2 - Somewhat Unlikely,,5 - Very Likely,Agree,Strongly Agree,C++,Neutral,,,,,,,,,,,,,,,,,,
64,A,101.3,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Agree,Agree,Racket,Agree,,,,,,,,,,,,,,,,,,
65,C,71.53,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Neutral,Disagree,JavaScript,Neutral,,,,,,,,,,,,,,,,,,
67,C-,43.64,Yes,,,4 - Likely,3 - Unsure,Agree,Agree,JavaScript,Neutral,,,,,,,,,,,,,,,,,,
68,B-,74.4,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Strongly Disagree,Disagree,C++,Strongly Disagree,,,,,,,,,,,,,,,,,,
70,A,98.74,Yes,,,5 - Very Likely,1 - Very Unlikely,Disagree,Agree,JavaScript,Neutral,,,,,,,,,,,,,,,,,,
71,A,93.61,Yes,,,1 - Very Unlikely,5 - Very Likely,Disagree,Disagree,C++,Disagree,,,,,,,,,,,,,,,,,,
72,B-,73.66,No,4 - Likely,3 - Unsure,,5 - Very Likely,Neutral,Disagree,C++,Agree,,,,,,,,,,,,,,,,,,
73,A-,91.63,Yes,,,2 - Somewhat Unlikely,5 - Very Likely,Agree,Strongly Agree,I did not have a favorite,Agree,,,,,,,,,,,,,,,,,,
74,B-,74.82,Yes,,,1 - Very Unlikely,5 - Very Likely,Strongly Agree,Agree,C++,Strongly Agree,,,,,,,,,,,,,,,,,,
75,A,99.57,No,1 - Very Unlikely,1 - Very Unlikely,,3 - Unsure,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
76,A,95.57,Yes,,,1 - Very Unlikely,5 - Very Likely,Agree,Agree,C++,Neutral,,,,,,,,,,,,,,,,,,
78,C,66.93,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Neutral,Agree,JavaScript,Agree,,,,,,,,,,,,,,,,,,
81,A,93.88,No,3 - Unsure,3 - Unsure,,4 - Likely,Agree,Agree,C++,Agree,,,,,,,,,,,,,,,,,,
82,B+,84.94,No,1 - Very Unlikely,1 - Very Unlikely,,1 - Very Unlikely,Neutral,Neutral,C++,Agree,,,,,,,,,,,,,,,,,,
83,A,96.81,Yes,,,1 - Very Unlikely,5 - Very Likely,Strongly Agree,Strongly Agree,C++,Agree,,,,,,,,,,,,,,,,,,
